"gene_id","scer_gene_name","functional_category","category_order","name_raw","desc_raw"
"YPL220W","RPL1A","Translation / Ribosome",3,"YPL220W   RPL1A      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L1A                   S0006141","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L1A S0006141"
"YGL135W","RPL1B","Translation / Ribosome",3,"YGL135W   RPL1B      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L1B                   S0003103","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L1B S0003103"
"YMR242C","RPL20A","Translation / Ribosome",3,"YMR242C   RPL20A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L20A                  S0004855","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L20A S0004855"
"YOR312C","RPL20B","Translation / Ribosome",3,"YOR312C   RPL20B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L20B                  S0005839","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L20B S0005839"
"YBR191W","RPL21A","Translation / Ribosome",3,"YBR191W   RPL21A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L21A                  S0000395","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L21A S0000395"
"YPL079W","RPL21B","Translation / Ribosome",3,"YPL079W   RPL21B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L21B                  S0006000","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L21B S0006000"
"YLR061W","RPL22A","Translation / Ribosome",3,"YLR061W   RPL22A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L22A                  S0004051","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L22A S0004051"
"YBL087C","RPL23A","Translation / Ribosome",3,"YBL087C   RPL23A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L23A                  S0000183","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L23A S0000183"
"YER117W","RPL23B","Translation / Ribosome",3,"YER117W   RPL23B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L23B                  S0000919","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L23B S0000919"
"YGL031C","RPL24A","Translation / Ribosome",3,"YGL031C   RPL24A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L24A                  S0002999","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L24A S0002999"
"YGR148C","RPL24B","Translation / Ribosome",3,"YGR148C   RPL24B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L24B                  S0003380","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L24B S0003380"
"YOL127W","RPL25","Translation / Ribosome",3,"YOL127W   RPL25      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L25                   S0005487","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L25 S0005487"
"YLR344W","RPL26A","Translation / Ribosome",3,"YLR344W   RPL26A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L26A                  S0004336","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L26A S0004336"
"YGR034W","RPL26B","Translation / Ribosome",3,"YGR034W   RPL26B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L26B                  S0003266","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L26B S0003266"
"YHR010W","RPL27A","Translation / Ribosome",3,"YHR010W   RPL27A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L27A                  S0001052","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L27A S0001052"
