gene_id,t0015,t0030,t0045,t0060,t0090,t0120,t0180,t0240,t0360,t0480
GWK60_I05379,1.133201769086297,1.924173838318857,2.742624796781065,2.457974499313816,1.878792523256833,1.509360082552104,1.6410794418342696,1.6002630073452253,1.7115075654044198,1.6848715540140669
GWK60_I05401,-1.1025088344104907,-1.1375410146653628,-1.95409434095264,-2.6714426454294964,-2.4824777523359387,-2.367403959725503,-1.9274975274803985,-1.7142606177265811,-1.603393426850804,-1.5117257957460566
GWK60_I05423,0,0,0,-1.42634814099036,-2.8124606102351155,-2.2761154723622257,-1.8036690795026151,-1.637373747552001,-1.7742481559245789,-1.995863190506204
GWK60_I05467,0,0,0,1.3596315209723744,1.2631833481420498,1.158942526167294,0,0,0,0
GWK60_I05511,0,-1.7390020260630976,-1.3506298230176763,-1.747635579600077,-3.0176743984339525,-3.3825545889306037,-2.295399303879657,0,0,-1.6467360579155943
GWK60_I05555,0,0,0,1.566078392433143,2.0690036107631324,2.0310621884104743,1.8930336271208812,1.84404946975933,2.02549131091159,2.1924254382988204
GWK60_I05643,0,0,0,0,1.9460945477980407,1.5352724684596766,0,0,0,1.1741192105655298
GWK60_I05665,0,0,0,0,1.7238823751980807,1.1059649951136914,0,0,0,0
GWK60_I05709,0,0,0,-1.66475613027504,0,0,0,0,0,0
GWK60_I05731,0,0,0,0,1.0235635134384435,1.224663172602901,1.0875153227582182,0,0,1.031190828899932
GWK60_I05753,0,0,0,0,-1.1520055204205015,-1.1397128135770425,0,0,0,0
GWK60_I05819,-2.6796853531486056,-1.1019559087103536,0,0,0,0,0,0,0,1.17944833047582
GWK60_I05907,0,0,0,1.1669109021978408,1.3318160708071738,1.2311888618339348,0,0,0,0
GWK60_I05929,0,0,1.0383370650318822,1.4088883168281567,1.7152727134398535,1.853423069226892,1.7868147577776934,1.3888054381347728,1.3888622509031592,1.5401333392113907
GWK60_I05951,1.0118474496213272,0,1.6771128243692623,2.548687914934865,2.80525821533844,2.7774964522377408,2.457798329864102,2.1951925043408114,2.153249735513533,2.1794625274054455
GWK60_I05995,0,0,-1.630719513637065,-3.8296980188230183,-3.44380196243357,-2.292036240584081,-1.2954313879590067,0,0,0
GWK60_I06017,0,0,0,1.4402623052123076,2.0357119855065418,2.3844265271561658,2.394422473499994,2.0771069195401823,1.910265916432348,2.09163978886587
GWK60_I06039,-1.4402489193354282,-1.2983864214516323,-1.0298185395109871,0,0,0,0,0,-1.259190596859248,-1.1526516890252572
GWK60_I06083,0,0,0,-1.0543915865065596,-2.975864872016659,-2.6519989886041127,-1.587048385937018,-1.3768147423552872,-1.4276403616326494,-1.62519054550514
GWK60_I06105,0,1.233940029754412,-1.0999280606020967,-3.3266311196092127,-2.8429139290972847,-1.96327125817782,-1.4792607508746434,0,0,0
