gene_id,t0015,t0030,t0045,t0060,t0090,t0120,t0150,t0180,t0210,t0240,t0360,t0480
orf19.7112,0,-1.406028204172057,-1.330189987893919,0,0,0,0,0,0,0,0,0
orf19.712,-1.948103852897479,0,0,0,0,0,0,-1.2038690010073367,-1.500067362246885,-1.80744125248081,-2.0632509648712225,-1.974031656628608
orf19.7127.1,0,0,0,0,0,1.6598150975207304,0,1.5194512618185747,0,0,0,0
orf19.7131,0,0,0,0,1.190937189797166,1.5489101118328186,0,0,1.0377568878115198,0,0,0
orf19.7140,0,-1.2190987698859623,-1.8302332366682157,-1.122619772791677,0,0,0,0,0,0,0,1.0594747153027324
orf19.7148,0,0,0,0,0,1.0753492021752311,0,0,0,0,1.3775725570711677,1.510531856391787
orf19.7149,-1.172290659486499,-1.3079586434207608,0,0,0,0,0,0,0,0,0,0
orf19.715,0,-2.20470252161753,-2.601287794694381,-2.442451469491325,-2.021947845959185,-1.809810682218036,-1.664045108834394,-1.4030484122790703,-1.150044916852228,0,0,0
orf19.7150,0,0,0,0,0,0,0,0,0,0,0,1.0158266011182162
orf19.7152,0,-1.0781986784397024,-1.288530314009958,0,0,0,0,0,0,0,0,0
orf19.7153,0,1.4484536122811222,1.4085232235043872,0,0,0,0,-1.0220956963015666,-1.2515262137471863,-1.270427980558411,-1.3475364997938066,-1.400150602096509
orf19.7154,3.734132262728626,4.093007704272496,4.023088878215957,2.835381996344059,0,0,1.51872431181102,2.3955117306202576,2.601755128530342,2.755371304202783,2.5656095704274366,2.704558203790843
orf19.7159,1.5897750907772916,1.20295645863987,1.1759143388161797,0,0,0,0,0,0,0,0,0
orf19.716,-1.0707519128571412,-2.9112803840204444,-3.4165022498607565,-3.1031401867987003,-2.5831279443249513,-2.501065668088427,-2.569779708828622,-2.657072277458072,-2.401254208795002,-2.2161107388841312,-2.287514026182176,-2.5477792389783973
orf19.7160,2.343731642894005,2.817318663111311,2.9088731903247416,2.0701277051415716,0,0,1.8358206932722343,2.5423372734152303,2.860108871704365,2.9284797406895704,3.180691654822385,3.005616623977386
orf19.7161,0,1.1799877461761268,1.180913520793769,0,0,0,-1.076901996424239,0,0,0,0,0
orf19.7163,0,0,0,0,0,1.122480014028712,0,1.0044570437640443,1.0351791634614906,1.0186320915307543,0,0
orf19.7166,2.3575656852141,0,1.3556260421070558,1.7524713233343423,2.5806232073644093,3.1991237001736,3.1914505524957444,3.396676382129618,3.5511083798254552,3.491603445536803,3.604698401151641,3.450132968296818
orf19.7167,0,0,0,0,-2.8789708377161096,-2.3795157530544846,0,-2.36346373201582,-2.5821251361364443,-4.099641143453549,-2.1558938183398877,-2.2151094095566473
orf19.717,0,1.32964483887634,1.3372144820247116,1.885995551027432,1.998111335262898,1.528278462921074,0,0,0,0,0,0
orf19.718,2.745361861000685,2.8395097165439305,2.678924563660157,1.6854318435871911,0,0,0,1.2602235661621524,1.28795469253436,1.3163725431786886,1.2356287011427565,1.2138036325578598
orf19.7182,1.2107111665405033,1.679967015008608,1.7311892924820842,1.1992061425853218,0,0,0,1.0838525624451925,1.1728817211831406,1.2327141347527368,1.3466118507110874,1.4108725448069692
orf19.7184,0,0,0,0,0,0,0,0,0,0,1.1726937891266171,1.0738044455628373
orf19.7186,0,0,0,0,0,0,0,0,0,0,-1.459449671546592,-1.4396646127478827
orf19.7187,1.1519842475911646,1.2619345844994738,1.5984555234349187,1.8021602839037587,1.6065093782946,1.2503021330172188,1.2785791980332917,1.6991754199591802,1.956211746192561,1.8210155780660688,2.0616064213019425,2.2065813577695934
orf19.7188,0,1.006865986804138,1.1512670448009084,1.1544782564769518,0,-1.195324366704425,-2.8943099480675607,-2.6105279212588988,-2.5322491001797243,-2.637064354916827,-2.500337635988393,-2.1826127211408255
orf19.719,0,-1.3221720996858737,-1.093111302824306,0,0,0,0,0,0,0,0,0
orf19.7190,0,1.3191585056220732,0,0,0,0,0,0,0,0,0,0
orf19.7194,1.8533455188175496,1.9393473905802443,2.010189065528774,1.791127071676596,0,0,0,1.2739362451548786,1.61544148451566,1.693901576986914,1.7366863758943465,1.7435565216462956
orf19.7196,-1.129782846189156,-1.3058787324259815,-1.970934440239104,-1.732154924772303,0,0,0,0,0,0,0,0
orf19.7197,4.827607857737781,5.196409590513644,5.049823247791276,3.431320488766842,0,0,2.1074178208907544,3.39367300542415,3.8989840952429695,3.9878571532378575,4.095077006208621,4.159236769907728
orf19.7199,0,0,0,0,0,0,0,0,1.0156468460612291,1.0087951951783072,1.2796236043428897,1.1761722689834686
orf19.720,0,0,0,0,0,1.742798270130841,1.9699777100788796,2.1463372012411046,2.7455263739551405,2.746361494946387,3.173501205611754,2.958914247944387
orf19.7200,0,0,0,0,0,1.0223308883910474,1.1055204989266805,1.5082688004238525,1.6794295312785144,1.77004087189658,2.238472535417531,2.2327480628320893
orf19.7203,0,1.2818410591784204,1.3654765547625063,1.344750222399588,0,0,0,0,0,0,0,0
orf19.7204,-1.6137493396519975,-2.1202939795516107,-2.1131309811579304,0,0,0,0,0,0,0,0,0
orf19.7209,0,0,0,0,0,0,0,0,0,2.259331290775276,3.0135716784276094,3.1896845810817553
orf19.721,1.3684674703532291,1.7329156161546928,1.670893255494751,0,0,0,0,0,0,0,0,0
orf19.7210,0,-1.1650016688352034,-1.2747271703783591,0,0,0,0,0,0,0,1.2860351122459406,1.4063647365235832
orf19.7214,0,0,-2.2405055447595648,-1.86664231779233,0,0,0,0,0,0,0,0
orf19.7215,2.9351508377440743,3.372650652117557,3.346597859729975,2.173425481943633,0,0,1.2484243244567037,1.8833917357059775,1.865713459483659,2.0919469330927707,1.9164022117989168,1.8589631048415631
orf19.7215.3,0,0,0,1.4980116318095444,1.951683264253398,1.8630962918352736,1.036281506971875,1.0113172912955448,1.2128909912558603,1.2031574582355586,1.4443644093731698,1.6403455165438556
orf19.7217,0,1.322650519635318,1.440578398618266,1.2906816279419868,0,-1.498676174100246,-2.9769803840720543,-2.6275743274455197,-2.484452036268982,-2.5417027971384902,-2.4635497563185855,-2.1764265215342538
orf19.7218,-1.199143143458086,0,0,-1.8326816669588777,0,0,1.1191492293503085,1.1420933633913852,0,0,0,-1.035264569994149
orf19.7219,-1.4411904981431496,0,0,0,0,0,0,0,0,0,0,0
