"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"gene-KLLA0_C17237g",206.061379704563,-3.2081714789597,0.250035582501192,1.09534502272592e-38,1.3336214992336e-37
"gene-KLLA0_C17424g",468.932918246701,-3.7797354724715,0.187997910605624,7.47101663195733e-91,1.91930417274984e-89
"gene-KLLA0_C17556g",2008.61300047228,-2.15636896631226,0.10155791903524,5.43929033136848e-101,1.47868114934239e-99
"gene-KLLA0_C18117g",685.860269975338,-3.1945080485667,0.183820591673185,1.10008034898243e-68,2.07801942392344e-67
"gene-KLLA0_C18744g",4969.77836876853,-3.44096774007912,0.0906316407071714,0,0
"gene-KLLA0_C18843g",1317.80437770045,-3.40032017925156,0.122996091288348,3.01392400465881e-169,1.86572789589602e-167
"gene-KLLA0_C18865g",501.272661269886,-2.84562214936365,0.161584409141312,1.92456458608719e-70,3.71744843733683e-69
"gene-KLLA0_C19206g",370.56496383465,-3.08900168204752,0.191024855806412,8.07878703794563e-60,1.31773993018935e-58
"gene-KLLA0_C19338g",3660.49040479384,-4.11373892211276,0.0956344226021326,0,0
"gene-KLLA0_D00258g",11721.8271058381,8.28227379904152,0.152646116775504,0,0
"gene-KLLA0_D00264g",5481.03247591066,3.63989513581456,0.0984771864679547,2.43450811346716e-300,3.47458407972064e-298
"gene-KLLA0_D00275g",1141.21824857987,-2.93216080692367,0.120199972272727,1.79050888197098e-132,7.47937775249343e-131
"gene-KLLA0_D00594g",395.795754899095,-2.88037530602471,0.186446795736637,7.8291242371555e-55,1.20437246498518e-53
"gene-KLLA0_D01023g",517.213864569919,-3.51740842693417,0.177027790621547,7.40303879307127e-89,1.83752721346861e-87
"gene-KLLA0_D03476g",6771.02276041694,-2.12282019403786,0.0996726363549589,1.29170580102298e-101,3.54908256986955e-100
"gene-KLLA0_D04224g",48066.1026504008,3.60509849131788,0.0747143292801318,0,0
"gene-KLLA0_D04796g",4787.85532601031,-2.18125916219158,0.0912747719349601,4.46291687089582e-127,1.77755557229944e-125
"gene-KLLA0_D04818g",5780.45548630867,2.41676746323852,0.0838634109593562,1.46652372674201e-183,1.03219163123293e-181
"gene-KLLA0_D04884g",670.619600439195,-3.75415663743735,0.162887661364807,1.73294422578687e-118,5.85780752111377e-117
"gene-KLLA0_D05247g",906.830627238761,-3.29938630939715,0.138287825685948,6.31664237542176e-127,2.47747393319977e-125
"gene-KLLA0_D05445g",157.111476652621,-3.36052621011882,0.293534519929906,2.50203320209011e-31,2.68380930946535e-30
"gene-KLLA0_D05621g",380.374227601702,-3.13095458165005,0.199008427999973,8.89870093877826e-57,1.40681616687516e-55
"gene-KLLA0_D06402g",2260.50193445027,2.02470609840405,0.0953877897892771,7.04079328784564e-101,1.90397873226057e-99
"gene-KLLA0_D06479g",1965.38094205516,2.70685493011937,0.102922143292049,1.77787283925185e-153,9.22698045260203e-152
"gene-KLLA0_D06677g",1216.77622709528,-3.0505705326454,0.134089206082595,1.28079207084978e-115,4.13881110693468e-114
"gene-KLLA0_D06765g",118.050145645424,-3.43577606716953,0.332503801450388,5.28967055189991e-26,4.75977710957299e-25
"gene-KLLA0_D07073g",3741.55576449457,-2.1110559084833,0.0916701617215244,2.86100395135657e-118,9.60773745233335e-117
"gene-KLLA0_D08206g",427.0099345936,-2.91238050758419,0.173548467152621,3.043335576481e-64,5.44831295887087e-63
"gene-KLLA0_D08371g",448.976998719429,-3.04019289367501,0.171421048857297,2.11849172639772e-71,4.18646557316596e-70
"gene-KLLA0_D08393g",419.249480522446,-4.09888778935562,0.218554575070639,1.7112763737145e-79,3.72565169836656e-78
