"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"gene-GWK60_L06061",793.566604950762,2.51598519939466,0.119069528041469,8.59298400105565e-100,5.29883890334733e-99
"gene-GWK60_L06413",699.722621013384,2.61622577316568,0.123676443928433,5.0718128602997e-100,3.14225390402549e-99
"gene-GWK60_L06589",6.66627810999247,-2.63284430891047,1.42714814352551,0.00854796401418492,0.0109905379405066
"gene-GWK60_L06677",15.4610473145125,3.05400805387699,0.916437353794184,0.000118387332661493,0.000170327508150835
"gene-GWK60_L06721",1372.15073866094,4.02961061058733,0.117639968563107,2.21334079232434e-258,3.45465061353889e-257
"gene-GWK60_L06941",541.10833882072,-2.43491602972388,0.138297051992892,4.45633353720042e-70,2.12321688457194e-69
"gene-GWK60_L07029",14883.6989524771,-2.79327888674739,0.05448641415196,0,0
"gene-GWK60_L07051",8265.66572740256,-3.25607482808007,0.0634206407854147,0,0
"gene-GWK60_L07073",1525.46086457071,-2.90865026278574,0.0990968343441705,2.8530745012187e-190,3.19982342780605e-189
"gene-GWK60_L07403",262.750496901907,-2.76669248656662,0.200625200547276,4.28912615129162e-44,1.50405357038626e-43
"gene-GWK60_L07557",387.230224084252,-5.64233695886253,0.292736417847943,7.21658300329441e-83,3.86156933848714e-82
"gene-GWK60_L08327",19456.9736253144,-2.94463177116656,0.048426213516228,0,0
"gene-GWK60_L08393",2497.92483078626,2.14503037408259,0.0713246343515294,1.88380976209468e-199,2.23675831797247e-198
"gene-GWK60_L08459",3604.76843599978,-3.03408873569242,0.0681332311481,0,0
"gene-GWK60_L08613",1754.97855057489,2.12677962827927,0.0812250823292118,9.7077102649419e-152,8.69890221355952e-151
"gene-GWK60_L08921",1546.7708672593,-4.91978692863256,0.125966668727104,0,0
"gene-GWK60_L09097",8497.95285557238,-3.28205875127197,0.0646263034492914,0,0
